zip,lat,long,county,state,n
,,,,,
,,,,,1257
,,,,,
682,18.219023,-67.508068,mayaguez,PR,1
,,,,,
801,18.322285,-64.963715,saint thomas,VI,1
,,,,,
1026,42.428617,-72.909841,hampshire,MA,1
,,,,,
1060,42.415154,-72.76927,hampshire,MA,1
,,,,,
1062,42.328838,-72.845227,hampshire,MA,1
,,,,,
1085,42.14869,-72.501887,hampden,MA,1
,,,,,
1095,42.125974,-72.489988,hampden,MA,1
,,,,,
1339,42.594252,-72.665507,franklin,MA,1
,,,,,
1440,42.582529,-72.025884,worcester,MA,1
,,,,,
1451,42.500187,-71.575864,worcester,MA,1
,,,,,
1452,42.483895,-72.011516,worcester,MA,1
,,,,,
1462,42.583322,-71.752266,worcester,MA,1
,,,,,
1501,42.184835,-71.947184,worcester,MA,1
,,,,,
1507,42.13277,-71.972627,worcester,MA,1
,,,,,
1518,42.106405,-72.114045,worcester,MA,2
,,,,,
1536,42.407556,-71.860402,worcester,MA,2
,,,,,
1545,42.286992,-71.715313,worcester,MA,2
,,,,,
1560,42.176544,-71.681912,worcester,MA,1
,,,,,
1606,42.311834,-71.794465,worcester,MA,1
,,,,,
1701,42.446396,-71.459405,middlesex,MA,1
,,,,,
1730,42.446396,-71.459405,middlesex,MA,1
,,,,,
1742,42.446396,-71.459405,middlesex,MA,1
,,,,,
1757,42.147087,-71.528085,worcester,MA,1
,,,,,
1776,42.446396,-71.459405,middlesex,MA,1
,,,,,
1778,42.446396,-71.459405,middlesex,MA,1
,,,,,
1803,42.504844,-71.201539,middlesex,MA,1
,,,,,
1824,42.446396,-71.459405,middlesex,MA,1
,,,,,
1830,42.792639,-71.072501,essex,MA,1
,,,,,
1834,42.751074,-71.021437,essex,MA,2
,,,,,
1867,42.537065,-71.107172,middlesex,MA,1
,,,,,
1886,42.446396,-71.459405,middlesex,MA,1
,,,,,
1890,42.454545,-71.148779,middlesex,MA,1
,,,,,
1945,42.56142,-70.770768,essex,MA,1
,,,,,
2019,42.076501,-71.470464,norfolk,MA,1
,,,,,
2026,42.244733,-71.181141,norfolk,MA,1
,,,,,
2030,42.236114,-71.283072,norfolk,MA,1
,,,,,
2052,42.181265,-71.309934,norfolk,MA,1
,,,,,
2053,42.156282,-71.427663,norfolk,MA,1
,,,,,
2108,42.353806,-71.102446,suffolk,MA,1
,,,,,
2110,42.352847,-71.051466,suffolk,MA,1
,,,,,
2114,42.362097,-71.023661,suffolk,MA,1
,,,,,
2115,42.342043,-71.096848,suffolk,MA,1
,,,,,
2124,42.286784,-71.071045,suffolk,MA,1
,,,,,
2130,42.309661,-71.121097,suffolk,MA,1
,,,,,
2131,42.284197,-71.120896,suffolk,MA,1
,,,,,
2135,42.349768,-71.104888,suffolk,MA,3
,,,,,
2136,42.254248,-71.129321,suffolk,MA,1
,,,,,
2138,42.380442,-71.132947,middlesex,MA,3
,,,,,
2139,42.365146,-71.101842,middlesex,MA,2
,,,,,
2141,42.368673,-71.083596,middlesex,MA,1
,,,,,
2142,42.36284,-71.084814,middlesex,MA,1
,,,,,
2143,42.38092,-71.098896,middlesex,MA,2
,,,,,
2145,42.391046,-71.095146,middlesex,MA,1
,,,,,
2151,42.366303,-71.020494,suffolk,MA,1
,,,,,
2155,42.422095,-71.109297,middlesex,MA,2
,,,,,
2169,42.241799,-71.006042,norfolk,MA,2
,,,,,
2170,42.267248,-71.016742,norfolk,MA,1
,,,,,
2187,42.180048,-71.08923,norfolk,MA,1
,,,,,
2302,42.08475,-71.000189,plymouth,MA,1
,,,,,
2330,41.896238,-70.759689,plymouth,MA,1
,,,,,
2360,41.886207,-70.638717,plymouth,MA,1
,,,,,
2420,42.45631,-71.21665,middlesex,MA,1
,,,,,
2421,42.442567,-71.226453,middlesex,MA,3
,,,,,
2458,42.385096,-71.208399,middlesex,MA,2
,,,,,
2459,42.334146,-71.183298,middlesex,MA,1
,,,,,
2460,42.374296,-71.182371,middlesex,MA,1
,,,,,
2474,42.417595,-71.159696,middlesex,MA,1
,,,,,
2476,42.379146,-71.184299,middlesex,MA,1
,,,,,
2478,42.412795,-71.204399,middlesex,MA,2
,,,,,
2562,41.793263,-70.519584,barnstable,MA,1
,,,,,
2568,41.41595,-70.595235,dukes,MA,1
,,,,,
2571,41.760216,-70.694662,plymouth,MA,1
,,,,,
2631,41.852997,-70.044462,barnstable,MA,1
,,,,,
2638,41.725716,-70.089142,barnstable,MA,1
,,,,,
2646,41.845717,-70.053544,barnstable,MA,1
,,,,,
2657,41.888775,-70.091057,barnstable,MA,2
,,,,,
2703,41.938976,-71.302297,bristol,MA,1
,,,,,
2747,41.639261,-71.007578,bristol,MA,1
,,,,,
2767,41.9367,-71.048941,bristol,MA,1
,,,,,
2865,41.925298,-71.493355,providence,RI,1
,,,,,
2871,41.58523,-71.264197,newport,RI,1
,,,,,
2879,41.443653,-71.534202,washington,RI,1
,,,,,
2906,41.8374,-71.394717,providence,RI,2
,,,,,
2909,41.820599,-71.444302,providence,RI,1
,,,,,
3031,42.87474,-71.629365,hillsborough,NH,1
,,,,,
3038,42.950825,-71.197169,rockingham,NH,1
,,,,,
3049,42.859545,-71.581313,hillsborough,NH,1
,,,,,
3062,42.860117,-71.49976,hillsborough,NH,1
,,,,,
3077,43.05932,-71.204521,rockingham,NH,1
,,,,,
3108,42.952124,-71.653939,hillsborough,NH,1
,,,,,
3266,43.752475,-71.788434,grafton,NH,2
,,,,,
3281,43.084176,-71.762578,hillsborough,NH,1
,,,,,
3303,43.281654,-71.659523,merrimack,NH,1
,,,,,
3431,42.903656,-72.248052,cheshire,NH,1
,,,,,
3750,43.697999,-72.215182,grafton,NH,1
,,,,,
3753,43.463101,-72.218445,sullivan,NH,1
,,,,,
3755,43.861077,-72.120314,grafton,NH,1
,,,,,
3766,43.637148,-72.23546,grafton,NH,1
,,,,,
3773,43.390485,-72.199659,sullivan,NH,1
,,,,,
3811,42.878366,-71.159035,rockingham,NH,1
,,,,,
3903,43.182729,-70.745759,york,ME,1
,,,,,
4008,44.023162,-69.875816,sagadahoc,ME,1
,,,,,
4047,43.744987,-70.909196,york,ME,1
,,,,,
4084,43.804454,-70.554905,cumberland,ME,1
,,,,,
4103,43.68826,-70.289844,cumberland,ME,1
,,,,,
4105,43.73928,-70.270696,cumberland,ME,1
,,,,,
4107,43.595512,-70.239559,cumberland,ME,2
,,,,,
4260,43.967474,-70.299687,cumberland,ME,1
,,,,,
4429,44.894294,-68.818345,penobscot,ME,1
,,,,,
4469,45.002798,-68.63343,penobscot,ME,1
,,,,,
4488,44.894697,-69.142341,penobscot,ME,1
,,,,,
4572,44.038581,-69.415708,lincoln,ME,1
,,,,,
4578,43.964901,-69.597134,lincoln,ME,1
,,,,,
4648,45.002969,-67.495548,washington,ME,1
,,,,,
4941,44.488583,-69.339221,waldo,ME,1
,,,,,
4963,44.557111,-69.826495,kennebec,ME,1
,,,,,
5065,43.777365,-72.407132,windsor,VT,1
,,,,,
5301,42.884281,-72.760753,windham,VT,1
,,,,,
5401,44.507404,-73.151384,chittenden,VT,3
,,,,,
5405,44.442117,-73.082525,chittenden,VT,1
,,,,,
5462,44.318091,-73.006184,chittenden,VT,1
,,,,,
5482,44.42493,-73.114047,chittenden,VT,1
,,,,,
5672,44.535179,-72.660043,lamoille,VT,1
,,,,,
5757,43.478301,-73.060391,rutland,VT,1
,,,,,
5842,44.775607,-72.22641,orleans,VT,1
,,,,,
6002,41.851961,-72.738939,hartford,CT,2
,,,,,
6011,41.791776,-72.718832,hartford,CT,1
,,,,,
6040,41.776048,-72.523748,hartford,CT,1
,,,,,
6073,41.657099,-72.572233,hartford,CT,1
,,,,,
6074,41.834198,-72.564632,hartford,CT,1
,,,,,
6109,41.698899,-72.667887,hartford,CT,1
,,,,,
6235,41.80294,-72.126036,windham,CT,1
,,,,,
6355,41.485188,-72.000748,new london,CT,1
,,,,,
6360,41.499398,-71.994757,new london,CT,1
,,,,,
6401,41.342514,-73.070301,new haven,CT,1
,,,,,
6410,41.460167,-72.97222,new haven,CT,1
,,,,,
6441,41.462718,-72.578971,middlesex,CT,1
,,,,,
6443,41.350397,-72.788392,new haven,CT,1
,,,,,
6455,41.515346,-72.712988,middlesex,CT,1
,,,,,
6482,41.408137,-73.249671,fairfield,CT,1
,,,,,
6484,41.314347,-73.137143,fairfield,CT,1
,,,,,
6492,41.456205,-72.811047,new haven,CT,1
,,,,,
6510,41.309797,-72.922296,new haven,CT,2
,,,,,
6515,41.328697,-72.964247,new haven,CT,1
,,,,,
6516,41.272452,-72.940335,new haven,CT,1
,,,,,
6517,41.362197,-72.911396,new haven,CT,2
,,,,,
6518,41.416747,-72.906096,new haven,CT,1
,,,,,
6606,41.208796,-73.211807,fairfield,CT,1
,,,,,
6776,41.658619,-73.366017,litchfield,CT,3
,,,,,
6795,41.759427,-73.162003,litchfield,CT,1
,,,,,
6883,41.222945,-73.376263,fairfield,CT,1
,,,,,
7001,40.582845,-74.27524,middlesex,NJ,1
,,,,,
7002,40.670858,-74.109486,hudson,NJ,1
,,,,,
7009,40.857049,-74.227109,essex,NJ,1
,,,,,
7013,40.872898,-74.170138,passaic,NJ,1
,,,,,
7030,40.746851,-74.033934,hudson,NJ,1
,,,,,
7043,40.8034,-74.19448,essex,NJ,1
,,,,,
7052,40.789944,-74.22719,essex,NJ,1
,,,,,
7059,40.629101,-74.532449,somerset,NJ,2
,,,,,
7066,40.622502,-74.311092,union,NJ,1
,,,,,
7086,NA,NA,hudson,NJ,1
,,,,,
7093,40.7888,-74.011533,hudson,NJ,1
,,,,,
7094,40.78885,-74.056035,hudson,NJ,1
,,,,,
7302,40.726001,-74.047304,hudson,NJ,2
,,,,,
7450,40.982247,-74.11207,bergen,NJ,1
,,,,,
7470,40.948689,-74.241168,passaic,NJ,1
,,,,,
7514,40.928748,-74.143187,passaic,NJ,2
,,,,,
7601,40.913482,-74.001623,bergen,NJ,1
,,,,,
7646,40.932998,-74.017633,bergen,NJ,1
,,,,,
7649,40.955347,-74.026983,bergen,NJ,1
,,,,,
7726,40.2697,-74.265539,monmouth,NJ,1
,,,,,
7731,40.258361,-74.19678,monmouth,NJ,2
,,,,,
7750,40.277757,-74.194702,monmouth,NJ,1
,,,,,
7751,40.319979,-74.214488,monmouth,NJ,1
,,,,,
7756,40.278922,-74.123285,monmouth,NJ,1
,,,,,
7834,40.881248,-74.489349,morris,NJ,1
,,,,,
7840,40.868804,-74.844734,warren,NJ,2
,,,,,
7856,40.874049,-74.73433,morris,NJ,1
,,,,,
7871,41.040597,-74.718191,sussex,NJ,1
,,,,,
7901,40.71275,-74.361594,union,NJ,1
,,,,,
7950,40.843399,-74.540341,morris,NJ,1
,,,,,
7960,40.77165,-74.506256,morris,NJ,1
,,,,,
8020,39.796706,-75.218852,gloucester,NJ,1
,,,,,
8036,39.987212,-74.829308,burlington,NJ,1
,,,,,
8062,39.715857,-75.235017,gloucester,NJ,1
,,,,,
8083,39.844063,-75.022163,camden,NJ,1
,,,,,
8109,39.950312,-75.059916,camden,NJ,1
,,,,,
8247,39.047882,-74.77505,cape may,NJ,1
,,,,,
8326,39.533843,-74.934493,atlantic,NJ,1
,,,,,
8401,39.486848,-74.643014,atlantic,NJ,1
,,,,,
8512,40.323116,-74.516597,middlesex,NJ,1
,,,,,
8724,39.938047,-74.17109,ocean,NJ,1
,,,,,
8759,39.945798,-74.29782,ocean,NJ,1
,,,,,
8823,40.440604,-74.560249,somerset,NJ,1
,,,,,
8833,40.635369,-74.829976,hunterdon,NJ,1
,,,,,
8844,NA,NA,somerset,NJ,1
,,,,,
8850,40.448255,-74.444395,middlesex,NJ,1
,,,,,
8873,40.491002,-74.523648,somerset,NJ,1
,,,,,
8901,40.486754,-74.444395,middlesex,NJ,1
,,,,,
8904,40.499866,-74.428095,middlesex,NJ,1
,,,,,
9173,NA,NA,,AE,1
,,,,,
10010,40.739024,-73.983542,new york,NY,1
,,,,,
10011,40.740916,-73.999769,new york,NY,1
,,,,,
10014,40.738088,-74.005095,new york,NY,1
,,,,,
10016,40.745527,-73.978449,new york,NY,2
,,,,,
10019,40.765926,-73.985443,new york,NY,2
,,,,,
10021,40.768823,-73.960257,new york,NY,2
,,,,,
10023,40.776765,-73.982213,new york,NY,3
,,,,,
10025,40.798664,-73.967778,new york,NY,1
,,,,,
10026,40.802918,-73.953107,new york,NY,1
