zip,lat,long,county,state,n
,,,,,
10026,40.71,-73.99,New York,NY,1
,,,,,
17331,39.81,-76.98,York,PA,1
,,,,,
48895,42.68,-84.28,Ingham,MI,1
,,,,,
96555,0,0,,AP,1
,,,,,
97707,43.83,-121.49,Deschutes,OR,1
,,,,,
7086,40.76,-74.01,Hudson,NJ,1
,,,,,
20855,39.13,-77.13,Montgomery,MD,1
,,,,,
63011,38.59,-90.55,St Louis,MO,3
,,,,,
94558,38.55,-122.15,Napa,CA,33
,,,,,
97113,45.52,-123.04,Washington,OR,1
,,,,,
29707,34.99,-80.86,Lancaster,SC,1
,,,,,
30044,33.94,-83.99,Gwinnett,GA,1
,,,,,
59860,47.72,-114.21,Lake,MT,2
,,,,,
75231,32.79,-96.76,Dallas,TX,2
,,,,,
80304,40.02,-105.25,Boulder,CO,2
,,,,,
95742,38.57,-121.17,Sacramento,CA,3
,,,,,
95946,39.18,-121.2,Nevada,CA,2
,,,,,
97370,44.59,-123.46,Benton,OR,1
,,,,,
6401,41.34,-73.06,New Haven,CT,1
,,,,,
81623,39.39,-107.21,Pitkin,CO,1
,,,,,
98144,47.58,-122.3,King,WA,1
,,,,,
37205,36.17,-86.78,Davidson,TN,1
,,,,,
46074,40.04,-86.13,Hamilton,IN,1
,,,,,
57038,42.6,-96.56,Union,SD,1
,,,,,
76028,32.53,-97.32,Johnson,TX,1
,,,,,
80465,39.65,-105.18,Jefferson,CO,1
,,,,,
11218,40.64,-73.94,Kings,NY,1
,,,,,
41031,38.38,-84.29,Harrison,KY,1
,,,,,
48185,42.31,-83.38,Wayne,MI,1
,,,,,
59808,46.98,-114.12,Missoula,MT,1
,,,,,
73013,35.67,-97.41,Oklahoma,OK,1
,,,,,
76021,32.84,-97.13,Tarrant,TX,1
,,,,,
85283,33.36,-111.93,Maricopa,AZ,4
,,,,,
90406,34.01,-118.49,Los Angeles,CA,1
,,,,,
95405,38.43,-122.67,Sonoma,CA,15
,,,,,
60586,41.61,-88.2,Will,IL,1
,,,,,
80524,40.55,-105.06,Larimer,CO,1
,,,,,
93703,36.76,-119.76,Fresno,CA,1
,,,,,
97070,45.3,-122.78,Clackamas,OR,2
,,,,,
98355,46.71,-122.11,Lewis,WA,1
,,,,,
94015,37.67,-122.47,San Mateo,CA,15
,,,,,
46032,39.96,-86.1,Hamilton,IN,1
,,,,,
53226,43.06,-87.96,Milwaukee,WI,1
,,,,,
80127,39.57,-105.14,Jefferson,CO,1
,,,,,
92117,32.81,-117.19,San Diego,CA,1
,,,,,
94502,37.73,-122.24,Alameda,CA,19
,,,,,
95696,38.31,-121.92,Solano,CA,1
,,,,,
95709,38.74,-120.68,El Dorado,CA,1
,,,,,
4047,43.72,-70.92,York,ME,1
,,,,,
13849,42.32,-75.31,Otsego,NY,1
,,,,,
19462,40.1,-75.28,Montgomery,PA,1
,,,,,
30315,33.7,-84.38,Fulton,GA,1
,,,,,
55416,44.96,-93.26,Hennepin,MN,2
,,,,,
77063,29.76,-95.38,Harris,TX,1
,,,,,
84095,40.55,-111.96,Salt Lake,UT,1
,,,,,
94127,37.73,-122.45,San Francisco,CA,51
,,,,,
15904,40.32,-78.91,Cambria,PA,1
,,,,,
44053,41.44,-82.18,Lorain,OH,1
,,,,,
75211,32.79,-96.76,Dallas,TX,1
,,,,,
94117,37.76,-122.44,San Francisco,CA,85
,,,,,
95320,37.83,-121.03,San Joaquin,CA,1
,,,,,
29451,32.8,-79.75,Charleston,SC,1
,,,,,
43701,39.95,-82.01,Muskingum,OH,1
,,,,,
80910,38.86,-104.76,El Paso,CO,1
,,,,,
94105,37.78,-122.39,San Francisco,CA,6
,,,,,
94587,37.59,-122.06,Alameda,CA,5
,,,,,
96797,21.39,-158.01,Honolulu,HI,1
,,,,,
15221,40.43,-79.97,Allegheny,PA,2
,,,,,
84103,40.79,-111.82,Salt Lake,UT,2
,,,,,
94005,37.68,-122.41,San Mateo,CA,5
,,,,,
14559,43.18,-77.8,Monroe,NY,1
,,,,,
31906,32.51,-84.87,Muscogee,GA,1
,,,,,
45140,39.26,-84.27,Clermont,OH,3
,,,,,
53956,43.53,-89,Columbia,WI,1
,,,,,
89434,39.53,-119.41,Washoe,NV,1
,,,,,
92833,33.88,-117.96,Orange,CA,1
,,,,,
50028,41.82,-93.15,Jasper,IA,1
,,,,,
61065,42.36,-88.82,Boone,IL,1
,,,,,
89506,39.76,-119.86,Washoe,NV,1
,,,,,
95103,37.33,-121.89,Santa Clara,CA,1
,,,,,
95351,37.63,-121.01,Stanislaus,CA,1
,,,,,
30519,34.11,-83.99,Gwinnett,GA,1
,,,,,
49911,46.47,-90.04,Gogebic,MI,1
,,,,,
85387,33.71,-112.4,Maricopa,AZ,2
,,,,,
94520,38,-122.03,Contra Costa,CA,7
,,,,,
49445,43.22,-86.25,Muskegon,MI,2
,,,,,
62536,39.61,-89.67,Sangamon,IL,1
,,,,,
63131,38.63,-90.24,St Louis,MO,1
,,,,,
66012,39.05,-94.88,Wyandotte,KS,1
,,,,,
85016,33.5,-112.02,Maricopa,AZ,3
,,,,,
8083,39.84,-75.02,Camden,NJ,1
,,,,,
21207,39.32,-76.72,Baltimore,MD,1
,,,,,
34684,28.08,-82.76,Pinellas,FL,1
,,,,,
54548,45.86,-89.69,Oneida,WI,1
,,,,,
55975,43.68,-92.38,Fillmore,MN,1
,,,,,
64468,40.34,-94.87,Nodaway,MO,1
,,,,,
95441,38.74,-123.13,Sonoma,CA,1
,,,,,
95959,39.34,-120.87,Nevada,CA,6
,,,,,
97080,45.47,-122.37,Multnomah,OR,1
,,,,,
12946,44.28,-73.98,Essex,NY,1
,,,,,
3766,43.63,-72.25,Grafton,NH,1
,,,,,
80113,39.64,-104.96,Arapahoe,CO,1
,,,,,
95757,38.35,-121.42,Sacramento,CA,2
,,,,,
41091,38.95,-84.66,Boone,KY,1
,,,,,
94610,37.81,-122.24,Alameda,CA,64
,,,,,
97341,44.81,-124.05,Lincoln,OR,1
,,,,,
20009,38.89,-77.03,District of Columbia,DC,2
,,,,,
66204,38.9,-94.68,Johnson,KS,1
,,,,,
77096,29.76,-95.38,Harris,TX,1
,,,,,
85205,33.43,-111.71,Maricopa,AZ,1
,,,,,
89144,36.17,-115.31,Clark,NV,2
,,,,,
19422,40.14,-75.26,Montgomery,PA,1
,,,,,
98103,47.67,-122.34,King,WA,2
,,,,,
98512,46.94,-123.04,Thurston,WA,1
,,,,,
90403,34.03,-118.49,Los Angeles,CA,3
,,,,,
6074,41.81,-72.61,Hartford,CT,1
,,,,,
15642,40.32,-79.69,Westmoreland,PA,1
,,,,,
33498,26.37,-80.1,Palm Beach,FL,1
,,,,,
37128,35.85,-86.39,Rutherford,TN,1
,,,,,
56467,46.96,-94.84,Hubbard,MN,1
,,,,,
1451,42.5,-71.58,Worcester,MA,1
,,,,,
53705,43.07,-89.38,Dane,WI,2
,,,,,
59427,48.65,-112.84,Glacier,MT,1
,,,,,
79605,32.45,-99.73,Taylor,TX,1
,,,,,
94568,37.71,-121.91,Alameda,CA,13
,,,,,
94602,37.8,-122.21,Alameda,CA,45
,,,,,
97205,45.51,-122.68,Multnomah,OR,1
,,,,,
2420,42.44,-71.23,Middlesex,MA,1
,,,,,
6011,41.68,-72.94,Hartford,CT,1
,,,,,
37343,35.16,-85.2,Hamilton,TN,1
,,,,,
48167,42.43,-83.48,Wayne,MI,1
,,,,,
84032,40.43,-111.19,Wasatch,UT,1
,,,,,
13440,43.21,-75.47,Oneida,NY,1
,,,,,
43209,39.98,-82.98,Franklin,OH,3
,,,,,
43221,39.98,-82.98,Franklin,OH,1
,,,,,
86305,34.76,-112.88,Yavapai,AZ,2
,,,,,
95464,39.12,-122.84,Lake,CA,2
,,,,,
7960,40.79,-74.47,Morris,NJ,1
,,,,,
18612,41.33,-75.96,Luzerne,PA,1
,,,,,
60120,42.03,-88.28,Cook,IL,1
,,,,,
92513,33.91,-117.46,Riverside,CA,1
,,,,,
95661,38.74,-121.25,Placer,CA,3
,,,,,
6482,41.4,-73.24,Fairfield,CT,1
,,,,,
48124,42.31,-83.21,Wayne,MI,1
,,,,,
60171,41.92,-87.83,Cook,IL,1
,,,,,
76706,31.56,-97.18,McLennan,TX,1
,,,,,
90028,34.1,-118.32,Los Angeles,CA,1
,,,,,
95924,39.19,-121.02,Nevada,CA,1
,,,,,
97535,42.26,-122.81,Jackson,OR,1
,,,,,
95062,36.97,-121.98,Santa Cruz,CA,37
,,,,,
96001,40.6,-122.46,Shasta,CA,1
,,,,,
98107,47.66,-122.38,King,WA,1
,,,,,
1778,42.36,-71.36,Middlesex,MA,1
,,,,,
53083,43.82,-87.75,Sheboygan,WI,1
,,,,,
60035,42.18,-87.8,Lake,IL,1
,,,,,
77433,29.96,-95.69,Harris,TX,1
,,,,,
80403,39.73,-105.21,Jefferson,CO,1
,,,,,
87510,36.2,-106.31,Rio Arriba,NM,1
,,,,,
91208,34.19,-118.24,Los Angeles,CA,1
,,,,,
53118,43.01,-88.47,Waukesha,WI,1
,,,,,
83642,43.59,-116.42,Ada,ID,1
,,,,,
10044,40.71,-73.99,New York,NY,1
,,,,,
8247,39.04,-74.76,Cape May,NJ,1
,,,,,
81505,39.08,-108.55,Mesa,CO,1
,,,,,
94517,37.88,-121.84,Contra Costa,CA,7
,,,,,
10019,40.71,-73.99,New York,NY,2
,,,,,
27545,35.79,-78.48,Wake,NC,1
,,,,,
30318,33.78,-84.44,Fulton,GA,4
,,,,,
65202,38.95,-92.32,Boone,MO,1
,,,,,
77384,30.32,-95.47,Montgomery,TX,1
,,,,,
85085,33.75,-112.14,Maricopa,AZ,1
,,,,,
94303,37.45,-122.1,Santa Clara,CA,26
,,,,,
94963,38.02,-122.63,Marin,CA,1
,,,,,
95020,37.06,-121.55,Santa Clara,CA,15
,,,,,
22030,38.85,-77.29,Fairfax,VA,1
,,,,,
81504,39.08,-108.55,Mesa,CO,1
,,,,,
97702,43.98,-121.27,Deschutes,OR,8
,,,,,
1507,42.13,-71.96,Worcester,MA,1
,,,,,
14223,42.88,-78.85,Erie,NY,1
,,,,,
75071,33.2,-96.65,Collin,TX,1
,,,,,
84339,41.62,-111.93,Cache,UT,1
,,,,,
94938,38.03,-122.7,Marin,CA,1
,,,,,
95073,37.02,-121.94,Santa Cruz,CA,9
,,,,,
75238,32.79,-96.76,Dallas,TX,1
,,,,,
76063,32.56,-97.11,Tarrant,TX,2
,,,,,
1062,42.32,-72.67,Hampshire,MA,1
,,,,,
14569,42.74,-78.14,Wyoming,NY,1
,,,,,
18956,40.25,-75.01,Bucks,PA,1
,,,,,
21113,39.06,-76.69,Anne Arundel,MD,2
,,,,,
29403,32.78,-79.99,Charleston,SC,1
,,,,,
35901,34.01,-86.01,Etowah,AL,1
,,,,,
53094,43.19,-88.72,Jefferson,WI,1
,,,,,
61951,39.59,-88.6,Moultrie,IL,1
,,,,,
85286,33.27,-111.82,Maricopa,AZ,1
,,,,,
13203,43.04,-76.14,Onondaga,NY,1
,,,,,
59527,48.07,-108.74,Blaine,MT,1
,,,,,
47448,39.2,-86.23,Brown,IN,1
,,,,,
85614,31.84,-111.06,Pima,AZ,2
,,,,,
94404,37.55,-122.26,San Mateo,CA,27
,,,,,
95116,37.35,-121.85,Santa Clara,CA,5
,,,,,
95825,38.58,-121.4,Sacramento,CA,2
,,,,,
46835,41.07,-85.13,Allen,IN,1
,,,,,
56007,43.65,-93.36,Freeborn,MN,1
,,,,,
94920,37.89,-122.47,Marin,CA,16
,,,,,
16046,40.69,-80.01,Butler,PA,1
,,,,,
63108,38.63,-90.24,St Louis City,MO,2
,,,,,
12203,42.66,-73.79,Albany,NY,1
,,,,,
3755,43.7,-72.27,Grafton,NH,1
,,,,,
24354,36.83,-81.51,Smyth,VA,1
,,,,,
61554,40.56,-89.62,Tazewell,IL,1
,,,,,
85266,33.48,-111.92,Maricopa,AZ,1
,,,,,
95210,38.02,-121.3,San Joaquin,CA,3
,,,,,
95693,38.39,-121.24,Sacramento,CA,2
,,,,,
97525,42.48,-123.06,Jackson,OR,1
,,,,,
3049,42.73,-71.58,Hillsborough,NH,1
,,,,,
33170,25.77,-80.2,Miami-Dade,FL,1
,,,,,
54016,44.97,-92.73,St Croix,WI,2
,,,,,
59718,45.65,-111.17,Gallatin,MT,2
,,,,,
61101,42.27,-89.06,Winnebago,IL,1
,,,,,
78411,27.8,-97.39,Nueces,TX,1
,,,,,
85006,33.46,-112.05,Maricopa,AZ,2
,,,,,
94709,37.87,-122.26,Alameda,CA,6
,,,,,
18302,41.02,-75.18,Monroe,PA,1
,,,,,
23103,37.64,-77.7,Goochland,VA,1
,,,,,
27921,36.32,-76.16,Camden,NC,1
,,,,,
46725,41.15,-85.48,Whitley,IN,1
,,,,,
83815,47.72,-116.75,Kootenai,ID,2
,,,,,
90272,34.07,-118.54,Los Angeles,CA,1
,,,,,
95452,38.42,-122.54,Sonoma,CA,1
,,,,,
98136,47.53,-122.39,King,WA,2
,,,,,
98368,48.03,-122.81,Jefferson,WA,1
,,,,,
81301,37.27,-107.88,La Plata,CO,1
,,,,,
43214,39.98,-82.98,Franklin,OH,1
,,,,,
79922,31.84,-106.43,El Paso,TX,1
,,,,,
92128,32.99,-117.07,San Diego,CA,1
,,,,,
95662,38.68,-121.22,Sacramento,CA,2
,,,,,
97401,44.06,-123.08,Lane,OR,3
,,,,,
1803,42.5,-71.2,Middlesex,MA,1
,,,,,
14607,43.16,-77.61,Monroe,NY,1
,,,,,
30047,33.88,-84.13,Gwinnett,GA,1
,,,,,
43202,39.98,-82.98,Franklin,OH,1
,,,,,
48611,43.6,-84.07,Bay,MI,1
,,,,,
93908,36.61,-121.62,Monterey,CA,4
,,,,,
94089,37.42,-122,Santa Clara,CA,8
,,,,,
99502,61.16,-149.99,Anchorage Borough,AK,1
,,,,,
19425,40.1,-75.64,Chester,PA,1
,,,,,
30019,33.98,-83.88,Gwinnett,GA,1
,,,,,
34689,28.14,-82.78,Pinellas,FL,2
,,,,,
77388,30.06,-95.38,Harris,TX,2
,,,,,
93728,36.75,-119.81,Fresno,CA,2
,,,,,
5482,44.38,-73.23,Chittenden,VT,1
,,,,,
20011,38.89,-77.03,District of Columbia,DC,1
,,,,,
30306,33.78,-84.34,Fulton,GA,1
,,,,,
48329,42.66,-83.38,Oakland,MI,1
,,,,,
53714,43.07,-89.38,Dane,WI,1
,,,,,
67301,37.23,-95.71,Montgomery,KS,1
,,,,,
94124,37.73,-122.38,San Francisco,CA,6
,,,,,
31401,32.08,-81.1,Chatham,GA,1
,,,,,
53572,43,-89.73,Dane,WI,1
,,,,,
78750,30.26,-97.74,Travis,TX,1
,,,,,
88101,34.41,-103.2,Curry,NM,2
,,,,,
89074,36.03,-115.07,Clark,NV,1
,,,,,
92650,33.67,-117.75,Orange,CA,1
,,,,,
94521,37.97,-121.96,Contra Costa,CA,15
,,,,,
14469,42.87,-77.46,Ontario,NY,1
,,,,,
15401,39.89,-79.72,Fayette,PA,1
,,,,,
18018,40.62,-75.36,Lehigh,PA,1
,,,,,
42001,37.07,-88.63,McCracken,KY,1
,,,,,
43229,39.98,-82.98,Franklin,OH,2
,,,,,
44140,41.48,-81.92,Cuyahoga,OH,1
,,,,,
49686,44.75,-85.6,Grand Traverse,MI,1
,,,,,
61021,41.84,-89.47,Lee,IL,1
,,,,,
78759,30.26,-97.74,Travis,TX,1
,,,,,
19102,39.95,-75.16,Philadelphia,PA,1
,,,,,
48170,42.37,-83.46,Wayne,MI,2
,,,,,
59701,46,-112.44,Silver Bow,MT,1
,,,,,
80228,39.76,-104.87,Jefferson,CO,2
,,,,,
85119,33.38,-111.51,Pinal,AZ,4
,,,,,
95032,37.23,-121.95,Santa Clara,CA,23
,,,,,
95050,37.34,-121.95,Santa Clara,CA,14
,,,,,
45420,39.77,-84.19,Montgomery,OH,2
,,,,,
49431,43.95,-86.44,Mason,MI,1
,,,,,
84102,40.75,-111.86,Salt Lake,UT,3
,,,,,
85208,33.38,-111.63,Maricopa,AZ,2
,,,,,
85298,33.24,-111.7,Maricopa,AZ,1
,,,,,
94601,37.77,-122.21,Alameda,CA,8
,,,,,
95119,37.22,-121.78,Santa Clara,CA,5
,,,,,
98125,47.71,-122.3,King,WA,1
,,,,,
55411,44.96,-93.26,Hennepin,MN,1
,,,,,
55436,44.96,-93.26,Hennepin,MN,1
,,,,,
67401,38.81,-97.61,Saline,KS,2
,,,,,
92704,33.71,-117.9,Orange,CA,2
,,,,,
12601,41.69,-73.92,Dutchess,NY,1
,,,,,
54229,44.53,-87.83,Brown,WI,1
,,,,,
95490,39.49,-123.36,Mendocino,CA,2
,,,,,
98002,47.31,-122.2,King,WA,1
,,,,,
12180,42.73,-73.67,Rensselaer,NY,1
,,,,,
81005,38.27,-104.62,Pueblo,CO,2
,,,,,
94903,38.02,-122.54,Marin,CA,44
,,,,,
97404,44.1,-123.13,Lane,OR,2
,,,,,
1890,42.45,-71.14,Middlesex,MA,1
,,,,,
68845,40.7,-99.08,Buffalo,NE,1
,,,,,
90049,34.08,-118.49,Los Angeles,CA,1
,,,,,
19087,40.06,-75.4,Chester,PA,1
,,,,,
23454,36.73,-76.04,Virginia Beach City,VA,2
,,,,,
32159,28.92,-81.92,Lake,FL,1
,,,,,
73012,35.65,-97.52,Oklahoma,OK,1
,,,,,
85382,33.65,-112.24,Maricopa,AZ,1
,,,,,
94546,37.7,-122.08,Alameda,CA,33
,,,,,
95926,39.74,-121.83,Butte,CA,5
,,,,,
2657,42.06,-70.2,Barnstable,MA,2
,,,,,
1606,42.26,-71.8,Worcester,MA,1
,,,,,
44120,41.47,-81.67,Cuyahoga,OH,2
,,,,,
46514,41.68,-85.96,Elkhart,IN,1
,,,,,
77381,30.06,-95.38,Montgomery,TX,1
,,,,,
89403,39.26,-119.48,Lyon,NV,1
,,,,,
89519,39.52,-119.81,Washoe,NV,1
,,,,,
95128,37.31,-121.93,Santa Clara,CA,8
,,,,,
23035,37.5,-76.39,Mathews,VA,1
,,,,,
48168,42.4,-83.6,Wayne,MI,1
,,,,,
60062,42.12,-87.83,Cook,IL,2
,,,,,
95135,37.25,-121.67,Santa Clara,CA,18
,,,,,
95819,38.56,-121.43,Sacramento,CA,10
,,,,,
20868,39.12,-76.96,Montgomery,MD,1
,,,,,
32669,29.64,-82.61,Alachua,FL,1
,,,,,
37938,35.97,-83.94,Knox,TN,1
,,,,,
56359,46.06,-93.66,Mille Lacs,MN,1
,,,,,
21783,39.65,-77.57,Washington,MD,1
,,,,,
23455,36.73,-76.04,Virginia Beach City,VA,1
,,,,,
48742,44.68,-83.41,Alcona,MI,1
,,,,,
27542,35.59,-78.12,Johnston,NC,1
,,,,,
92067,33.02,-117.19,San Diego,CA,1
,,,,,
95445,38.82,-123.51,Mendocino,CA,1
,,,,,
26288,38.47,-80.41,Webster,WV,1
,,,,,
66202,38.9,-94.68,Johnson,KS,1
,,,,,
73034,35.67,-97.41,Oklahoma,OK,1
,,,,,
94028,37.37,-122.21,San Mateo,CA,8
,,,,,
92037,32.86,-117.24,San Diego,CA,2
,,,,,
94531,37.96,-121.76,Contra Costa,CA,1
,,,,,
